,iter,index,max_devi_f,min_devi_f,avg_devi_f
69,,,0.04622611,0.005695072,0.01477085
70,,,0.03845557,0.006718405,0.01519343
71,,,0.03430084,0.007979069,0.01631173
72,,,0.03370548,0.005561665,0.01446027
73,,,0.03223241,0.006016069,0.01430555
74,,,0.03033304,0.00796999,0.01524686
75,,,0.02841061,0.006412059,0.01395726
76,,,0.04813709,0.004881064,0.01561209
77,,,0.0535858,0.006629271,0.01706609
78,,,0.03341362,0.006148075,0.01534255
79,,,0.02908706,0.005551138,0.0150735
80,,,0.03589294,0.004891286,0.01535195
81,,,0.06334341,0.007641266,0.01797224
82,,,0.04220634,0.007615136,0.01866067
83,,,0.05296478,0.004272131,0.01905503
84,,,0.03373653,0.006069931,0.01706755
85,,,0.03927137,0.006896633,0.01557806
86,,,0.03943373,0.005392027,0.0162652
87,,,0.03314377,0.007980098,0.01611783
88,,,0.03093373,0.007225806,0.01476319
89,,,0.02930675,0.004632522,0.01415213
90,,,0.03034667,0.005095706,0.01652138
91,,,0.07484224,0.007747838,0.01978589
92,,,0.1641286,0.004825186,0.02360895
93,,,0.09106774,0.006775654,0.02241807
94,,,0.06313487,0.005057045,0.01750695
95,,,0.05141607,0.0063092,0.01715758
96,,,0.03728684,0.004112405,0.01613827
97,,,0.03240964,0.004214464,0.01392221
98,,,0.02822339,0.004614247,0.01422329
99,,,0.02618245,0.004674809,0.0135765
100,,,0.02617559,0.007636314,0.01424102
101,,,0.02321879,0.00718079,0.01403024
102,,,0.03024344,0.005640881,0.01439741
103,,,0.05089344,0.005512851,0.01598653
104,,,0.1218047,0.007565338,0.01877719
105,,,0.1036433,0.005245291,0.01781449
106,,,0.02949416,0.007678048,0.01670715
107,,,0.03867923,0.007466816,0.01740584
108,,,0.03943986,0.004997009,0.01642167
109,,,0.02875684,0.004795175,0.01461347
110,,,0.03465468,0.006571762,0.01373838
111,,,0.03434518,0.003876451,0.01354951
112,,,0.03249871,0.005981165,0.01557612
113,,,0.05674495,0.006465124,0.01721785
114,,,0.0334048,0.0060333,0.01790761
115,,,0.04317645,0.005742676,0.01714583
116,,,0.03637639,0.004817766,0.01594336
117,,,0.027958,0.005941674,0.01488024
118,,,0.0286747,0.005766245,0.01469876
119,,,0.03194208,0.006952021,0.0159197
120,,,0.0609448,0.006394318,0.01772745
121,,,0.04273715,0.006710066,0.01599778
122,,,0.03798252,0.005593283,0.01626862
123,,,0.03772992,0.00652808,0.01717388
124,,,0.03227455,0.004987858,0.01620108
125,,,0.04183175,0.006308777,0.01557443
126,,,0.04037283,0.005894486,0.01586699
127,,,0.0286363,0.005575923,0.01432143
128,,,0.03520353,0.005659235,0.01484044
129,,,0.05139024,0.006018309,0.01783725
130,,,0.08139547,0.005613099,0.01991445
131,,,0.04302086,0.007508901,0.01927534
132,,,0.0340163,0.006820945,0.01676641
133,,,0.0410051,0.005967819,0.01565146
134,,,0.03861613,0.006740896,0.01697835
135,,,0.03927915,0.00758289,0.01636848
136,,,0.04831573,0.007609046,0.01745384
137,,,0.03301555,0.004611362,0.01700904
138,,,0.0398078,0.005533124,0.0158903
139,,,0.03050531,0.005295181,0.0150674
140,,,0.03328144,0.005255585,0.01544612
141,,,0.03630982,0.004855331,0.01576718
142,,,0.03565367,0.005258447,0.01537856
143,,,0.07597448,0.006616115,0.01689007
144,,,0.1023513,0.006727814,0.0178517
145,,,0.06478598,0.006734637,0.01755801
146,,,0.07863661,0.005807475,0.01907392
147,,,0.03669504,0.006187504,0.01787639
148,,,0.02979757,0.005295577,0.01590527
149,,,0.0300486,0.005851013,0.015722
150,,,0.02595697,0.007076406,0.0145746
151,,,0.02944779,0.005856916,0.01427781
152,,,0.02467856,0.003702985,0.01472058
153,,,0.0277163,0.006701559,0.01512961
154,,,0.02823889,0.005982528,0.01566286
155,,,0.04146935,0.005089117,0.01708932
156,,,0.04352491,0.005030695,0.01578079
157,,,0.05592252,0.004748981,0.0164712
158,,,0.02733787,0.004895323,0.01539333
159,,,0.03818984,0.006553805,0.0159395
160,,,0.03550938,0.005459892,0.01678843
161,,,0.05136511,0.007551997,0.01660112
162,,,0.0471422,0.007051508,0.01571983
163,,,0.0299089,0.006483946,0.0157172
164,,,0.04267761,0.005606767,0.01764949
165,,,0.03774932,0.005201131,0.01785562
166,,,0.04442641,0.008302237,0.01688171
167,,,0.03684671,0.007813149,0.01679838
168,,,0.05147293,0.006454439,0.01828743
